Name,Position,Chromosome,First Author,Title,Pubmed link,Year,Journal,Trait,p-value,p-value description,Confidence Interval
rs2056626,165687049,1,Radstake TR,Genome-wide association study of systemic sclerosis identifies CD247 as a new susceptibility locus.,http://www.ncbi.nlm.nih.gov/pubmed/20383147,04/11/2010,Nat Genet,Systemic sclerosis,3.0e-09,"",[1.11-1.23] 
rs6457617,32771829,6,Radstake TR,Genome-wide association study of systemic sclerosis identifies CD247 as a new susceptibility locus.,http://www.ncbi.nlm.nih.gov/pubmed/20383147,04/11/2010,Nat Genet,Systemic sclerosis,4.0e-17,"",[1.28-1.47] 
rs9883204,124579510,3,Freathy RM,Variants in ADCY5 and near CCNL1 are associated with fetal growth and birth weight.,http://www.ncbi.nlm.nih.gov/pubmed/20372150,04/06/2010,Nat Genet,Birth weight,7.0e-15,"",[0.047-0.079] s.d. decrease
rs900400,158281469,3,Freathy RM,Variants in ADCY5 and near CCNL1 are associated with fetal growth and birth weight.,http://www.ncbi.nlm.nih.gov/pubmed/20372150,04/06/2010,Nat Genet,Birth weight,2.0e-35,"",[0.073-0.10] s.d. decrease
rs11661542,20223695,18,Yasuno K,Genome-wide association study of intracranial aneurysm identifies three new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/20364137,04/04/2010,Nat Genet,Intracranial aneurysm,1.0e-12,"",[1.15-1.28] 
rs1333040,22073404,9,Yasuno K,Genome-wide association study of intracranial aneurysm identifies three new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/20364137,04/04/2010,Nat Genet,Intracranial aneurysm,2.0e-22,"",[1.25-1.39] 
rs9298506,55600077,8,Yasuno K,Genome-wide association study of intracranial aneurysm identifies three new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/20364137,04/04/2010,Nat Genet,Intracranial aneurysm,1.0e-12,"",[1.20-1.38] 
rs12413409,104709086,10,Yasuno K,Genome-wide association study of intracranial aneurysm identifies three new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/20364137,04/04/2010,Nat Genet,Intracranial aneurysm,1.0e-09,"",[1.19-1.40] 
rs9315204,32591837,13,Yasuno K,Genome-wide association study of intracranial aneurysm identifies three new risk loci.,http://www.ncbi.nlm.nih.gov/pubmed/20364137,04/04/2010,Nat Genet,Intracranial aneurysm,3.0e-09,"",[1.13-1.28] 
rs3213787,45500328,2,Meguro A,Genome-wide association study of normal tension glaucoma: common variants in SRBD1 and ELOVL5 contribute to disease susceptibility.,http://www.ncbi.nlm.nih.gov/pubmed/20363506,04/02/2010,Ophthalmology,Glaucoma,3.0e-09,"",[1.96-3.99] 
rs1812175,145574844,4,Liu JZ,Genome-wide association study of height and body mass index in Australian twin families.,http://www.ncbi.nlm.nih.gov/pubmed/20397748,04/01/2010,Twin Res Hum Genet,Height,1.0e-09,"",[0.07-0.17] SD decrease
rs9642880,128787250,8,Kiemeney LA,A sequence variant at 4p16.3 confers susceptibility to urinary bladder cancer.,http://www.ncbi.nlm.nih.gov/pubmed/20348956,03/28/2010,Nat Genet,Urinary bladder cancer,7.0e-12,"",[1.15-1.28] 
rs798766,1734239,4,Kiemeney LA,A sequence variant at 4p16.3 confers susceptibility to urinary bladder cancer.,http://www.ncbi.nlm.nih.gov/pubmed/20348956,03/28/2010,Nat Genet,Urinary bladder cancer,1.0e-11,"",[1.17-1.32] 
rs2731672,176775080,5,Houlihan LM,"Common variants of large effect in F12, KNG1, and HRG are associated with activated partial thromboplastin time.",http://www.ncbi.nlm.nih.gov/pubmed/20303064,03/18/2010,Am J Hum Genet,Activated partial thromboplastin time,2.0e-30,"",[0.37-0.53] unit decrease
rs9898,187873321,3,Houlihan LM,"Common variants of large effect in F12, KNG1, and HRG are associated with activated partial thromboplastin time.",http://www.ncbi.nlm.nih.gov/pubmed/20303064,03/18/2010,Am J Hum Genet,Activated partial thromboplastin time,1.0e-11,"",[0.19-0.33] unit increase
rs710446,187942621,3,Houlihan LM,"Common variants of large effect in F12, KNG1, and HRG are associated with activated partial thromboplastin time.",http://www.ncbi.nlm.nih.gov/pubmed/20303064,03/18/2010,Am J Hum Genet,Activated partial thromboplastin time,1.0e-21,"",[0.29-0.43] unit decrease
rs10947262,32481290,6,Nakajima M,New sequence variants in HLA class II/III region associated with susceptibility to knee osteoarthritis identified by genome-wide association study.,http://www.ncbi.nlm.nih.gov/pubmed/20305777,03/18/2010,PLoS One,Knee osteoarthritis,5.0e-09,"",[1.20-1.44] 
rs867186,33228215,20,Smith NL,"Novel associations of multiple genetic loci with plasma levels of factor VII, factor VIII, and von Willebrand factor: The CHARGE (Cohorts for Heart and Aging Research in Genome Epidemiology) Consortium.",http://www.ncbi.nlm.nih.gov/pubmed/20231535,03/15/2010,Circulation,Coagulation factor levels,6.0e-37,(FVII),NR
rs9390459,147722052,6,Smith NL,"Novel associations of multiple genetic loci with plasma levels of factor VII, factor VIII, and von Willebrand factor: The CHARGE (Cohorts for Heart and Aging Research in Genome Epidemiology) Consortium.",http://www.ncbi.nlm.nih.gov/pubmed/20231535,03/15/2010,Circulation,Coagulation factor levels,1.0e-22,(vWF),[2.1-7.5] % decrease
rs3024493,206943968,1,Franke A,Genome-wide association study for ulcerative colitis identifies risk loci at 7q22 and 22q13 (IL17REL).,http://www.ncbi.nlm.nih.gov/pubmed/20228798,03/14/2010,Nat Genet,Ulcerative colitis,1.0e-12,"",[1.22-1.50] 
rs4957048,636442,5,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,1.0e-09,"",[NR] 
rs1558744,66790859,12,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,4.0e-12,"",[NR] 
rs3197999,49721532,3,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,4.0e-09,"",[NR] 
rs1317209,20012623,1,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,2.0e-10,"",[NR] 
rs2201841,67466790,1,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,1.0e-13,"",[NR] 
rs10800309,159738782,1,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,3.0e-09,"",[NR] 
rs13003464,61040333,2,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,7.0e-09,"",[NR] 
rs6426833,20044447,1,McGovern DP,Genome-wide association identifies multiple ulcerative colitis susceptibility loci.,http://www.ncbi.nlm.nih.gov/pubmed/20228799,03/14/2010,Nat Genet,Ulcerative colitis,2.0e-21,"",[NR] 
rs3813948,207269858,1,Buil A,C4BPB/C4BPA is a new susceptibility locus for venous thrombosis with unknown protein S-independent mechanism: results from genome-wide association and gene expression analyses followed by case-control studies.,http://www.ncbi.nlm.nih.gov/pubmed/20212171,03/08/2010,Blood,C4b binding protein levels,4.0e-10,(%a7b0),NR
rs3806932,110433574,5,Rothenberg ME,Common variants at 5q22 associate with pediatric eosinophilic esophagitis.,http://www.ncbi.nlm.nih.gov/pubmed/20208534,03/07/2010,Nat Genet,Eosinophilic esophagitis (pediatric),3.0e-09,"", 
rs2187668,32713862,6,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,1.0e-50,"",[5.95-6.52] 
rs296547,199158760,1,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,4.0e-09,"",[1.09-1.16] 
rs13003464,61040333,2,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,4.0e-13,"",[1.11-1.20] 
rs2327832,138014761,6,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,4.0e-19,"",[1.17-1.28] 
rs17035378,68452459,2,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,8.0e-09,"",[1.09-1.19] 
rs13314993,32990473,3,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-09,"",[1.08-1.17] 
rs11712165,120601486,3,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,8.0e-09,"",[1.08-1.17] 
rs10806425,90983333,6,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,4.0e-10,"",[1.09-1.17] 
rs802734,128320491,6,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-14,"",[1.12-1.22] 
rs1250552,80728033,10,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,9.0e-10,"",[1.09-1.16] 
rs11221332,128380974,11,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,5.0e-16,"",[1.16-1.27] 
rs4819388,44471849,21,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,2.0e-09,"",[1.09-1.19] 
rs3748816,2516606,1,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-09,"",[1.09-1.18] 
rs10903122,25176163,1,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,2.0e-10,"",[1.09-1.18] 
rs917997,102437000,2,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,1.0e-15,"",[1.14-1.25] 
rs4675374,204510823,2,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,6.0e-09,"",[1.09-1.19] 
rs13098911,46235201,3,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-17,"",[1.23-1.39] 
rs17810546,161147744,3,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,4.0e-28,"",[1.29-1.44] 
rs13151961,123115502,4,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,2.0e-27,"",[1.28-1.43] 
rs1893217,12809340,18,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-10,"",[1.12-1.23] 
rs9792269,129333771,8,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-09,"",[1.10-1.19] 
rs2816316,190803436,1,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,2.0e-17,"",[1.19-1.32] 
rs13010713,181996045,2,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,5.0e-11,"",[1.09-1.18] 
rs1464510,188112554,3,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-40,"",[1.25-1.34] 
rs1738074,159465977,6,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,3.0e-15,"",[1.12-1.21] 
rs653178,112007756,12,Dubois PC,Multiple common variants for celiac disease influencing immune gene expression.,http://www.ncbi.nlm.nih.gov/pubmed/20190752,02/28/2010,Nat Genet,Celiac disease,7.0e-21,"",[1.15-1.24] 
rs7678436,17797966,4,Okada Y,A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.,http://www.ncbi.nlm.nih.gov/pubmed/20189936,02/26/2010,Hum Mol Genet,Height,8.0e-15,"",[0.07-0.11] cm decrease
rs3791679,56096892,2,Okada Y,A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.,http://www.ncbi.nlm.nih.gov/pubmed/20189936,02/26/2010,Hum Mol Genet,Height,6.0e-09,"",[0.05-0.09] cm increase
rs7742369,34273699,6,Okada Y,A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.,http://www.ncbi.nlm.nih.gov/pubmed/20189936,02/26/2010,Hum Mol Genet,Height,1.0e-13,"",[0.08-0.14] cm increase
rs7833986,57262703,8,Okada Y,A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.,http://www.ncbi.nlm.nih.gov/pubmed/20189936,02/26/2010,Hum Mol Genet,Height,8.0e-10,"",[0.08-0.16] cm decrease
rs9825379,142619725,3,Okada Y,A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.,http://www.ncbi.nlm.nih.gov/pubmed/20189936,02/26/2010,Hum Mol Genet,Height,6.0e-09,"",[0.05-0.09] cm increase
rs7571816,232785308,2,Okada Y,A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.,http://www.ncbi.nlm.nih.gov/pubmed/20189936,02/26/2010,Hum Mol Genet,Height,9.0e-09,"",[0.04-0.08] cm increase
rs8079702,65702421,17,Pillas D,Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.,http://www.ncbi.nlm.nih.gov/pubmed/20195514?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=14,02/26/2010,PLoS Genet,Primary tooth development (time to first tooth eruption),4.0e-22,"",[NR] % variance explained
rs4844096,68722043,X,Pillas D,Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.,http://www.ncbi.nlm.nih.gov/pubmed/20195514?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=14,02/26/2010,PLoS Genet,Primary tooth development (number of teeth),5.0e-11,"",[NR] % variance explained
rs5936487,68809641,X,Pillas D,Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.,http://www.ncbi.nlm.nih.gov/pubmed/20195514?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=14,02/26/2010,PLoS Genet,Primary tooth development (time to first tooth eruption),6.0e-11,"",[NR] % variance explained
rs10506525,64069645,12,Pillas D,Genome-wide association study reveals multiple loci associated with primary tooth development during infancy.,http://www.ncbi.nlm.nih.gov/pubmed/20195514?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=14,02/26/2010,PLoS Genet,Primary tooth development (time to first tooth eruption),6.0e-09,"",[NR] % variance explained
rs651007,135143696,9,Qi L,"Genetic variants in ABO blood group region, plasma soluble E-selectin levels and risk of type 2 diabetes.",http://www.ncbi.nlm.nih.gov/pubmed/20147318?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/22/2010,Hum Mol Genet,E-selectin levels,2.0e-82,"",[NR] % variance explained
rs1751492,65765213,1,Sun Q,Genome-wide association study identifies polymorphisms in LEPR as determinants of plasma soluble leptin receptor levels.,http://www.ncbi.nlm.nih.gov/pubmed/20167575,02/22/2010,Hum Mol Genet,Soluble leptin receptor levels,6.0e-13,(Nurses Health Study),[5.64-9.56] % decrease
rs7671167,90103002,4,Cho MH,Variants in FAM13A are associated with chronic obstructive pulmonary disease.,http://www.ncbi.nlm.nih.gov/pubmed/20173748?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/21/2010,Nat Genet,Chronic obstructive pulmonary disease,1.0e-11,"",[1.19-1.47] 
rs6843082,111718067,4,Ellinor PT,Common variants in KCNN3 are associated with lone atrial fibrillation.,http://www.ncbi.nlm.nih.gov/pubmed/20173747?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/21/2010,Nat Genet,Atrial fibrillation,3.0e-28,"",[1.79-2.30] 
rs13376333,153080977,1,Ellinor PT,Common variants in KCNN3 are associated with lone atrial fibrillation.,http://www.ncbi.nlm.nih.gov/pubmed/20173747?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/21/2010,Nat Genet,Atrial fibrillation,2.0e-21,"",[1.40-1.64] 
rs17584499,8869118,9,Tsai FJ,A genome-wide association study identifies susceptibility variants for type 2 diabetes in Han Chinese.,http://www.ncbi.nlm.nih.gov/pubmed/20174558?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/19/2010,PLoS Genet,Type 2 diabetes,9.0e-10,"",[1.36-1.82] 
rs391300,2163008,17,Tsai FJ,A genome-wide association study identifies susceptibility variants for type 2 diabetes in Han Chinese.,http://www.ncbi.nlm.nih.gov/pubmed/20174558?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/19/2010,PLoS Genet,Type 2 diabetes,3.0e-09,"",[1.18-1.39] 
rs2237895,2857194,11,Tsai FJ,A genome-wide association study identifies susceptibility variants for type 2 diabetes in Han Chinese.,http://www.ncbi.nlm.nih.gov/pubmed/20174558?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/19/2010,PLoS Genet,Type 2 diabetes,1.0e-09,"",[1.19-1.40] 
rs2235302,167846914,1,Barbalic M,Large-scale genomic studies reveal central role of ABO in sP-selectin and sICAM-1 levels.,http://www.ncbi.nlm.nih.gov/pubmed/20167578?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/18/2010,Hum Mol Genet,Soluble levels of adhesion molecules,4.0e-16,(P-Selectin),[5.54-9.06] % decrease
rs6136,167830575,1,Barbalic M,Large-scale genomic studies reveal central role of ABO in sP-selectin and sICAM-1 levels.,http://www.ncbi.nlm.nih.gov/pubmed/20167578?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/18/2010,Hum Mol Genet,Soluble levels of adhesion molecules,4.0e-61,(P-Selectin),[19.86-25.34] % increase
rs579459,135143989,9,Barbalic M,Large-scale genomic studies reveal central role of ABO in sP-selectin and sICAM-1 levels.,http://www.ncbi.nlm.nih.gov/pubmed/20167578?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/18/2010,Hum Mol Genet,Soluble levels of adhesion molecules,2.0e-41,(P-Selectin),[12.04-15.96] % increase
rs3093030,10258403,19,Barbalic M,Large-scale genomic studies reveal central role of ABO in sP-selectin and sICAM-1 levels.,http://www.ncbi.nlm.nih.gov/pubmed/20167578?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/18/2010,Hum Mol Genet,Soluble levels of adhesion molecules,4.0e-23,(ICAM),[3.33-4.97] % increase
rs7422339,211248752,2,Lange LA,Genome-wide association study of homocysteine levels in Filipinos provides evidence for CPS1 in women and a stronger MTHFR effect in young adults.,http://www.ncbi.nlm.nih.gov/pubmed/20154341?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=3,02/13/2010,Hum Mol Genet,Homocysteine levels,5.0e-09,"",[0.03-0.07] increase in log(Hcy)
rs3135338,32509195,6,Jakkula E,Genome-wide association study in a high-risk isolate for multiple sclerosis reveals associated variants in STAT3 gene.,http://www.ncbi.nlm.nih.gov/pubmed/20159113?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/12/2010,Am J Hum Genet,Multiple sclerosis,2.0e-25,"",[NR] 
rs744166,37767727,17,Jakkula E,Genome-wide association study in a high-risk isolate for multiple sclerosis reveals associated variants in STAT3 gene.,http://www.ncbi.nlm.nih.gov/pubmed/20159113?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/12/2010,Am J Hum Genet,Multiple sclerosis,3.0e-10,"",[1.10-1.20] 
rs1128334,128328959,11,Yang W,Genome-wide association study in Asian populations identifies variants in ETS1 and WDFY4 associated with systemic lupus erythematosus.,http://www.ncbi.nlm.nih.gov/pubmed/20169177?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=2,02/12/2010,PLoS Genet,Systemic lupus erythematosus,2.0e-11,"",[1.20-1.39] 
rs7097397,49695402,10,Yang W,Genome-wide association study in Asian populations identifies variants in ETS1 and WDFY4 associated with systemic lupus erythematosus.,http://www.ncbi.nlm.nih.gov/pubmed/20169177?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=2,02/12/2010,PLoS Genet,Systemic lupus erythematosus,8.0e-12,"",[1.21-1.40] 
rs2115763,112051169,11,He M,Genome-wide association study identifies variants at the IL18-BCO2 locus associated with interleukin-18 levels.,http://www.ncbi.nlm.nih.gov/pubmed/20150558?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=6,02/11/2010,Arterioscler Thromb Vasc Biol,Interleukin-18 levels,4.0e-09,"",NR
rs12696304,170963965,3,Codd V,Common variants near TERC are associated with mean telomere length.,http://www.ncbi.nlm.nih.gov/pubmed/20139977?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,02/07/2010,Nat Genet,Telomere length,4.0e-14,"",[0.08-0.14] unit decrease
rs9543325,72814629,13,Petersen GM,"A genome-wide association study identifies pancreatic cancer susceptibility loci on chromosomes 13q22.1, 1q32.1 and 5p15.33.",http://www.ncbi.nlm.nih.gov/pubmed/20101243?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=11,01/24/2010,Nat Genet,Pancreatic cancer,3.0e-11,"",[1.18-1.35] 
rs3790844,198274055,1,Petersen GM,"A genome-wide association study identifies pancreatic cancer susceptibility loci on chromosomes 13q22.1, 1q32.1 and 5p15.33.",http://www.ncbi.nlm.nih.gov/pubmed/20101243?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=11,01/24/2010,Nat Genet,Pancreatic cancer,2.0e-10,"",[1.19-1.41] 
rs12531488,144523019,7,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,NS,NR
rs7647307,69705878,3,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,NS,NR
rs4692256,27744718,4,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,<1 x 10<sup>-6</sup> (RHippocampus),NR
rs7526034,63359561,1,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,NS,NR
rs16912145,59752674,10,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,NS,NR
rs6463843,8805242,7,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,NS,NR
rs429358,50103781,19,Shen L,Whole genome association study of brain-wide imaging phenotypes for identifying quantitative trait loci in MCI and AD: A study of the ADNI cohort.,http://www.ncbi.nlm.nih.gov/pubmed/20100581?itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum&ordinalpos=1,01/22/2010,Neuroimage,Brain imaging,1.0e-100,NS,NR
